,tax_year,account,total_appraised_value,total_market_value,land_value
183810,2019,520700700012,843330.0,843330,522500
183811,2019,520700700013,1310270.0,1310270,475000
183812,2019,520700700014,652025.0,657781,475000
183813,2019,520700700017,1477257.0,1477257,498750
183814,2019,520700700018,552000.0,552000,160000
183815,2019,520700700019,1300000.0,1300000,498750
183816,2019,520700700020,493210.0,522879,505875
183817,2019,520700700021,499556.0,499556,148840
183818,2019,520700700022,479600.0,498251,137480
183819,2019,520700700023,396092.0,396092,110400
183820,2019,520700700024,556131.0,556131,160000
183821,2019,520700710011,345050.0,351567,97766
183822,2019,520700710012,1330000.0,1330000,498750
183823,2019,520700710013,612803.0,612803,498750
183824,2019,520700710014,485516.0,517530,498750
183826,2019,520700710016,500138.0,500138,475000
183827,2019,520700710018,582600.0,582600,489250
183828,2019,520700710019,559445.0,559445,498750
183830,2019,520700710021,352098.0,352098,107360
183831,2019,520700710022,365011.0,365011,97162
183832,2019,520700710023,339572.0,339572,97162
183833,2019,520700710024,362298.0,362298,97162
183834,2019,520700720001,597871.0,597871,486875
183835,2019,520700720002,846394.0,846394,484500
183836,2019,520700720003,550000.0,550000,486875
183838,2019,520700720006,594550.0,619100,486875
183839,2019,520700720007,1476105.0,1476105,475000
183840,2019,520700720008,492439.0,516000,510625
183841,2019,520700720011,500000.0,500000,486875
183842,2019,520700720012,1470134.0,1470134,486875
183843,2019,520700720013,1326158.0,1326158,486875
183844,2019,520700720014,1393478.0,1393478,486875
183845,2019,520700720015,592608.0,592608,486875
183846,2019,520700720016,337000.0,337000,155000
183847,2019,520700720017,988043.0,988043,486875
183848,2019,520700720019,500738.0,500738,486875
183849,2019,520700720020,639970.0,639970,486875
183850,2019,520700720021,394887.0,394887,155000
183851,2019,520700720022,452500.0,452500,108560
183852,2019,520700720023,470000.0,470000,131040
183853,2019,520700720024,578833.0,578833,154400
183854,2019,520700720025,650000.0,650000,154400
183855,2019,520700720026,479000.0,479000,130320
183856,2019,520700730001,489966.0,489966,126640
183857,2019,520700730002,585812.0,585812,155280
183858,2019,520700730003,469940.0,499795,486875
183859,2019,520700730004,1366103.0,1366103,486875
183860,2019,520700730005,1150000.0,1150000,486875
183861,2019,520700730006,593612.0,593612,486875
183862,2019,520700730007,1428843.0,1428843,486875
183863,2019,520700730008,481229.0,510606,486875
183864,2019,520700730009,547893.0,547893,141320
183865,2019,520700730011,537000.0,537000,148680
183866,2019,520700730012,589292.0,589292,161320
183867,2019,520700730013,624850.0,624850,168680
183868,2019,520700730014,467246.0,467246,103920
183869,2019,520700730015,507948.0,507948,129960
183870,2019,520700730016,613008.0,613008,155280
183871,2019,520710030014,604836.0,617000,154000
183872,2019,520710130001,503464.0,503464,142800
183873,2019,520710130002,1140948.0,1140948,475000
183874,2019,520710130008,641685.0,641685,146000
183875,2019,520710130009,475000.0,475000,470155
183876,2019,520710130010,532662.0,532662,150000
183877,2019,520710130011,520077.0,520077,150000
183879,2019,520710130015,500000.0,500000,150000
183880,2019,520710130016,558000.0,558000,150000
183881,2019,520710130017,450263.0,485000,142800
183882,2019,520710130018,566377.0,566377,150000
183883,2019,520710130019,539552.0,539552,150000
183884,2019,520710140001,790000.0,790000,470820
183885,2019,520710140003,411539.0,411539,150000
183886,2019,520710140004,907328.0,907328,475000
183887,2019,520710140005,521529.0,521529,150000
183888,2019,520710140007,434112.0,434112,102720
183889,2019,520710140010,614582.0,614582,150000
183890,2019,520710140012,1162000.0,1162000,475000
183891,2019,520710140014,299730.0,299730,77381
183892,2019,520710140015,430000.0,430000,150000
183893,2019,520710140016,269170.0,269767,77315
183894,2019,520710140017,259600.0,259600,77851
183895,2019,520710140018,225000.0,225000,78490
183897,2019,520710140020,521529.0,521529,150000
183898,2019,520710140021,508440.0,508440,125640
183899,2019,520710140022,501292.0,501292,121640
183900,2019,520710140023,591920.0,591920,150000
183901,2019,520720230001,457063.0,457063,121680
183903,2019,520720230003,440000.0,440000,149160
183904,2019,520720230013,408000.0,408000,151440
183905,2019,520720230014,449215.0,449215,150000
183906,2019,520720230015,476000.0,476000,150000
183907,2019,520720230016,430321.0,430321,121640
183908,2019,520720230017,429800.0,429800,125640
183909,2019,520720230018,416669.0,416669,102680
183910,2019,520720230019,449215.0,449215,150000
183911,2019,520720230020,418825.0,418825,148600
183912,2019,520720230021,455067.0,455067,150000
183913,2019,520720230022,444400.0,492802,150520
183914,2019,520720230023,399379.0,399379,102680
183915,2019,520720230024,440004.0,440004,125680
183916,2019,520720240001,354347.0,354347,130000
183917,2019,520720240002,1282012.0,1282012,475000
183918,2019,520720240003,673131.0,673131,150000
183919,2019,520720240013,1063000.0,1063000,475000
183920,2019,520720240015,500877.0,527214,427500
183921,2019,520720240016,523460.0,558938,127400
183922,2019,520720240017,416954.0,416954,108000
183923,2019,520720240018,402893.0,402893,111200
183924,2019,520720240019,581131.0,581131,150000
183925,2019,520720240020,574137.0,574137,120240
183926,2019,520720240021,605702.0,605702,102320
183927,2019,520730570001,455671.0,530988,511575
183928,2019,520730570002,1048330.0,1048330,494000
183929,2019,520730570005,417056.0,417056,158000
183930,2019,520730570006,409594.0,409594,158000
183931,2019,520730570007,484900.0,484900,158000
183932,2019,520730570008,413404.0,413404,158000
183933,2019,520730580010,621136.0,621136,158000
183934,2019,520730580013,1200000.0,1200000,494000
183935,2019,520730580014,574368.0,574368,148280
183936,2019,520730580015,574368.0,574368,148280
183937,2019,520730580016,617887.0,617887,158000
183938,2019,520730580017,557258.0,557258,155840
183939,2019,520730580018,696951.0,696951,155840
183940,2019,520730590001,927110.0,927110,205000
183941,2019,520730590002,877110.0,877110,155000
183942,2019,520730600001,511648.0,511648,158000
183943,2019,520730600002,558954.0,558954,158000
183944,2019,520730610001,401724.0,401724,150000
183945,2019,520730610002,401724.0,401724,150000
183946,2019,520730620001,316345.0,316345,145000
183947,2019,520730620002,316345.0,316345,145000
183951,2019,520770010011,1074608.0,1074608,450000
183955,2019,520770020005,472276.0,472276,450000
183961,2019,520780000003,428915.0,428915,412155
183962,2019,520780000004,675100.0,675100,675000
183963,2019,520780000006,593108.0,593108,513000
183964,2019,520780000007,868020.0,868020,504360
183965,2019,520780000008,471466.0,471466,450000
183966,2019,520780000009,623727.0,623727,450000
183967,2019,520780000010,455000.0,455000,450000
183970,2019,520790030014,383177.0,383177,368327
183971,2019,520790050004,723835.0,723835,712500
183972,2019,520790050005,488858.0,488858,475000
183974,2019,520790050007,513700.0,520500,475000
183977,2019,520790050012,476000.0,476000,475000
183978,2019,520790050013,456166.0,485309,475000
183979,2019,520790050014,488758.0,488758,475000
183980,2019,520790050015,564990.0,564990,475000
183981,2019,520790050017,480150.0,489977,475000
183983,2019,520800060004,1378697.0,1378697,475000
183986,2019,520800060010,464769.0,495478,475000
183990,2019,520800060016,454080.0,483521,475000
183991,2019,520800060017,490820.0,532558,475000
183992,2019,520800060018,493948.0,493948,475000
183993,2019,520800060019,487006.0,487006,148800
183994,2019,520800060030,515703.0,515703,131800
183995,2019,520800060031,558045.0,558045,155000
183996,2019,520800060032,493132.0,493132,120000
183997,2019,520800060033,502138.0,502138,164400
183999,2019,520800070002,500000.0,500000,148000
184000,2019,520800070003,509169.0,509169,150000
184001,2019,520800070004,456394.0,471000,470155
184002,2019,520800070005,460900.0,490649,475000
184003,2019,520800070006,1305000.0,1305000,483788
184004,2019,520800070007,1015217.0,1015217,475000
184005,2019,520800070008,1093827.0,1093827,475000
184006,2019,520800070009,1094066.0,1152800,475000
184007,2019,520800070010,1303923.0,1303923,475000
184011,2019,520800070014,418712.0,418712,147880
184012,2019,520800070019,1493676.0,1493676,475000
184015,2019,520800070040,604958.0,604958,420090
184016,2019,520800070041,489999.0,489999,150000
184018,2019,520800070043,422912.0,422912,152080
184019,2019,520800070044,495000.0,495000,148000
184020,2019,520810430006,410311.0,410311,403591
184021,2019,520810430007,532393.0,639382,548625
184022,2019,520810440001,905000.0,905000,475000
184023,2019,520810450001,740444.0,740444,200000
184024,2019,520810450002,726771.0,726771,200000
184025,2019,520810460001,868000.0,868000,150000
184026,2019,520810460002,871968.0,871968,150920
184027,2019,520810470001,851720.0,851720,150000
184028,2019,520810470002,851720.0,851720,150000
184114,2019,520850000011,528200.0,528200,528000
184116,2019,520850000014,539481.0,539481,528000
184117,2019,520850000015,565000.0,565000,556800
184118,2019,520850000016,638305.0,638305,614400
184119,2019,520850000018,1544696.0,1544696,1056000
184120,2019,520850000020,700000.0,700000,585600
184121,2019,520850000021,947331.0,947331,528000
184122,2019,520850000053,538299.0,538299,528000
184123,2019,520860000022,605902.0,605902,594000
184124,2019,520860000023,1175384.0,1175384,594000
184125,2019,520860000024,1287014.0,1287014,594000
184126,2019,520860000025,1385413.0,1385413,691200
184127,2019,520860000026,1212936.0,1212936,626400
184128,2019,520860000027,696779.0,696779,594000
184129,2019,520860000028,875000.0,875000,594000
184130,2019,520860000029,1076900.0,1200000,1188000
184131,2019,520860000031,997000.0,997000,623808
184132,2019,520860000032,1174607.0,1235841,660000
184133,2019,520860000033,1337952.0,1337952,660000
184134,2019,520860000034,1090596.0,1090596,660000
184135,2019,520860000035,1316083.0,1316083,732000
184136,2019,520860000036,762553.0,762553,732000
184137,2019,520860000037,1145384.0,1145384,660000
184138,2019,520860000038,672548.0,672548,660000
184139,2019,520860000039,1143528.0,1143528,660000
184140,2019,520860000040,756499.0,756499,660000
184141,2019,520860000041,1101226.0,1101226,648600
184142,2019,520860000050,1190927.0,1190927,658800
184143,2019,520870000042,1110000.0,1110000,653100
184144,2019,520870000043,662739.0,672406,660000
184145,2019,520870000044,1470657.0,1470657,660000
184146,2019,520870000045,797201.0,800000,660000
184147,2019,520870000046,700000.0,700000,660000
184148,2019,520870000047,1238708.0,1238708,732000
184149,2019,520870000048,1426567.0,1426567,732000
184150,2019,520870000049,764031.0,764031,660000
184151,2019,520870000050,1025145.0,1025145,660000
184152,2019,520870000051,1513000.0,1513000,660000
184153,2019,520870000052,1392839.0,1392839,623430
184154,2019,520870000053,1360992.0,1360992,689520
184155,2019,520870000054,673000.0,673000,660000
184156,2019,520870000055,1280000.0,1280000,660000
184158,2019,520870000057,1636100.0,1636100,732000
184159,2019,520870000058,1910000.0,1910000,732000
184160,2019,520870000059,1288727.0,1288727,660000
184161,2019,520870000060,785000.0,785000,660000
184162,2019,520870000061,1340295.0,1340295,1320000
184163,2019,520870000063,1246298.0,1246298,656280
184164,2019,520880000064,1220518.0,1220518,675840
184166,2019,520880000066,1197231.0,1197231,675000
184167,2019,520880000067,1689624.0,1689624,1012500
184168,2019,520880000069,1688792.0,1688792,1087500
184169,2019,520880000070,2247000.0,2247000,750000
184170,2019,520880000071,1549811.0,1549811,675000
184171,2019,520880000072,1389033.0,1389033,675000
184172,2019,520880000073,757339.0,800000,675000
184173,2019,520880000074,745908.0,778600,697500
184174,2019,520880000075,1342665.0,1342665,697740
184175,2019,520880000076,1440982.0,1440982,675000
184176,2019,520880000077,1134968.0,1134968,675000
184177,2019,520880000078,745000.0,745000,675000
184178,2019,520880000079,1885463.0,1885463,750000
184179,2019,520880000080,1406533.0,1406533,750000
184180,2019,520880000081,1068475.0,1068475,675000
184181,2019,520880000082,1588792.0,1588792,675000
184182,2019,520880000083,1119633.0,1119633,675000
184183,2019,520880000084,1227607.0,1227607,675000
184184,2019,520880000085,1431873.0,1431873,679260
184185,2019,520890000086,992981.0,992981,675000
184186,2019,520890000087,1200000.0,1200000,681600
184187,2019,520890000088,1278200.0,1294000,675000
184188,2019,520890000089,900000.0,900000,675000
184189,2019,520890000090,1487449.0,1487449,675000
184190,2019,520890000091,1175933.0,1175933,750000
184191,2019,520890000092,1764619.0,1764619,750000
184192,2019,520890000093,1470294.0,1470294,675000
184193,2019,520890000094,1490000.0,1490000,675000
184194,2019,520890000095,1201092.0,1201092,675000
184195,2019,520890000096,1270027.0,1270027,693300
184196,2019,520890000097,1219236.0,1219236,689880
184197,2019,520890000098,772927.0,772927,675000
184198,2019,520890000099,1341000.0,1341000,675000
184199,2019,520890000100,1165000.0,1165000,675000
184200,2019,520890000101,1882019.0,1882019,750000
184201,2019,520890000102,1206000.0,1206000,727500
184202,2019,520890000103,1185315.0,1185315,697500
184203,2019,520890000104,665500.0,706492,675000
184204,2019,520890000105,875073.0,875073,675000
184206,2019,520890000107,1000000.0,1000000,687540
184207,2019,520900000108,1676000.0,1676000,1027500
184208,2019,520900000109,1822620.0,1822620,1012500
184210,2019,520900000112,1229684.0,1229684,675000
184211,2019,520900000113,1616553.0,1616553,750000
184212,2019,520900000114,1051746.0,1051746,750000
184213,2019,520900000115,1269902.0,1269902,675000
184214,2019,520900000116,1233707.0,1233707,675000
184215,2019,520900000117,1196181.0,1196181,675000
184216,2019,520900000118,1367697.0,1367697,682500
184217,2019,520900000119,1374761.0,1374761,681240
184218,2019,520900000120,1316660.0,1316660,690000
184219,2019,520900000121,1144784.0,1144784,697500
184220,2019,520900000122,1193080.0,1193080,637500
184221,2019,520900000123,1946095.0,1946095,750000
184222,2019,520900000124,1818929.0,1818929,750000
184223,2019,520900000125,1020597.0,1020597,675000
184224,2019,520900000126,1507803.0,1507803,675000
184225,2019,520900000127,679800.0,683088,675000
184226,2019,520900000128,1640000.0,1640000,675000
184227,2019,520900000129,1569632.0,1569632,697500
184228,2019,520910000130,1091848.0,1091848,696000
184229,2019,520910000131,1156621.0,1156621,696000
184230,2019,520910000132,1082836.0,1082836,696000
184231,2019,520910000133,1858975.0,1858975,696000
184232,2019,520910000134,1166281.0,1166281,696000
184233,2019,520910000135,1185390.0,1185390,696000
184234,2019,520910000136,1300335.0,1300335,696000
184235,2019,520910000137,1026163.0,1026163,696000
184236,2019,520910000138,715992.0,715992,696000
184237,2019,520910000139,1596200.0,1596200,696000
184238,2019,520910000140,634487.0,706000,696000
184239,2019,520910000141,1262589.0,1262589,696000
184240,2019,520910000142,1170840.0,1170840,635040
184534,2019,521530000003,429000.0,429000,394240
184820,2019,522210000001,1034860.0,1034860,529000
184821,2019,522210000002,517248.0,517248,500000
184823,2019,522210000004,543260.0,543260,500000
184824,2019,522210000005,1314488.0,1314488,500000
184825,2019,522210000006,519802.0,519802,500000
184826,2019,522210000007,524647.0,524647,500000
184827,2019,522210000008,557400.0,557400,525000
184828,2019,522210000009,1190216.0,1190216,525000
184829,2019,522210000010,1378200.0,1378200,536520
184836,2019,522210000017,850061.0,850061,600000
184840,2019,522220000003,682624.0,686863,502000
184841,2019,522220000004,1102048.0,1102048,502000
184842,2019,522220000005,515375.0,515375,502000
184843,2019,522220000006,1146600.0,1146600,502000
184844,2019,522220000007,545058.0,545058,502000
184845,2019,522220000008,1119794.0,1119794,502000
184846,2019,522220000009,1100000.0,1100000,527200
184847,2019,522220000010,619000.0,619000,335704
184852,2019,522220000021,710465.0,710465,454836
184861,2019,522230000001,1638387.0,1638387,535400
184863,2019,522230000003,515021.0,515021,500000
184864,2019,522230000004,486373.0,510899,500000
184865,2019,522230000005,1210000.0,1210000,500000
184866,2019,522230000006,986301.0,986301,500000
184867,2019,522230000007,1425428.0,1425428,500000
184869,2019,522230000009,536782.0,555000,550000
184870,2019,522230000010,625947.0,625947,536520
184871,2019,522230000011,1517494.0,1517494,536520
184872,2019,522230000012,721146.0,721146,525000
184873,2019,522230000013,1100000.0,1156900,525000
184874,2019,522230000014,570000.0,570000,500000
184875,2019,522230000015,725000.0,725000,500000
184878,2019,522230000019,795000.0,795000,500000
184879,2019,522230000020,1700000.0,1700000,560000
184881,2019,522240000002,582902.0,582902,525000
184883,2019,522240000004,744713.0,744713,500000
184884,2019,522240000005,660000.0,693000,500000
184885,2019,522240000006,792659.0,792659,500000
184886,2019,522240000007,514000.0,514000,500000
184887,2019,522240000008,523842.0,523842,500000
184889,2019,522240000010,528000.0,579468,486458
184890,2019,522240000011,373898.0,373898,103600
184891,2019,522240000012,611537.0,611537,525000
184892,2019,522240000013,994806.0,994806,477250
184893,2019,522240000014,817619.0,817619,500000
184894,2019,522240000015,950000.0,950000,500000
184895,2019,522240000016,809700.0,809700,500000
184896,2019,522240000017,577500.0,598000,500000
184898,2019,522240000019,665500.0,720000,525000
184900,2019,522240000021,397792.0,397792,119880
184901,2019,522240000022,386867.0,386867,112720
184902,2019,522240000023,352000.0,439192,98368
184903,2019,522240000024,366345.0,367346,98962
184904,2019,522240000025,371110.0,371110,104600
184906,2019,522250000001,690351.0,690351,538520
184907,2019,522250000002,829149.0,829149,500000
184908,2019,522250000003,774500.0,774500,500000
184909,2019,522250000004,900344.0,900344,500000
184910,2019,522250000005,765902.0,765902,500000
184911,2019,522250000006,641690.0,641690,500000
184912,2019,522250000007,634438.0,634438,500000
184913,2019,522250000008,575526.0,628276,525000
184915,2019,522250000010,641000.0,641000,493550
184916,2019,522250000011,1666320.0,1666320,536480
184919,2019,522250000014,549862.0,549862,500000
184920,2019,522250000016,508036.0,508036,500000
184921,2019,522250000017,547399.0,547399,500000
184924,2019,522250000020,608000.0,608000,535200
184925,2019,522250000021,258797.0,294045,114160
184926,2019,522260000001,1300600.0,1300600,520000
184927,2019,522260000002,688923.0,688923,525000
184928,2019,522260000003,554645.0,554645,500000
184929,2019,522260000004,1441518.0,1441518,500000
184930,2019,522260000005,539000.0,539000,500000
184931,2019,522260000006,1450785.0,1450785,500000
184932,2019,522260000007,1059215.0,1059215,625000
184933,2019,522260000011,960000.0,960000,525000
184934,2019,522260000012,1414919.0,1414919,525000
184935,2019,522260000013,590708.0,590708,500000
184936,2019,522260000014,1653764.0,1653764,500000
184937,2019,522260000015,655079.0,655079,500000
184938,2019,522260000016,516478.0,516478,500000
184939,2019,522260000017,709000.0,709000,500000
184940,2019,522260000018,585000.0,585000,500000
184941,2019,522260000019,1408000.0,1420266,525000
184942,2019,522260000020,644847.0,644847,520000
184943,2019,522260010001,386255.0,386255,175000
184944,2019,522260010002,412224.0,412224,197440
184945,2019,522260010003,345085.0,345085,197880
184946,2019,522260010004,403570.0,403570,175000
184947,2019,522260010005,391716.0,391716,175000
184948,2019,522270000001,625000.0,625000,496960
184949,2019,522270000002,508251.0,508251,487600
184950,2019,522270000003,506207.0,506207,487600
184952,2019,522270000005,605896.0,605896,487600
184953,2019,522270000006,512000.0,512000,487600
184954,2019,522270000007,533637.0,533637,487600
184955,2019,522270000008,554386.0,554386,494384
184956,2019,522270000009,712611.0,712611,494384
184957,2019,522270000010,574781.0,588877,495638
184958,2019,522270000011,993357.0,993357,495638
184959,2019,522270000012,843461.0,843461,494384
184960,2019,522270000013,496036.0,515124,494384
184961,2019,522270000014,897251.0,897251,487600
184962,2019,522270000015,946334.0,946334,487600
184963,2019,522270000016,925000.0,925000,487600
184964,2019,522270000017,642901.0,642901,487600
184965,2019,522270000018,490000.0,490000,487600
184966,2019,522270000019,856428.0,856428,487600
184967,2019,522270000020,715000.0,752840,495870
184970,2019,522280000003,1034000.0,1034000,487920
184971,2019,522280000004,489920.0,489920,487920
184972,2019,522280000005,511461.0,511461,487920
184973,2019,522280000006,1193583.0,1193583,487920
184974,2019,522280000007,622000.0,622000,487920
184975,2019,522280000008,579000.0,579000,487920
184976,2019,522280000009,907500.0,965000,395472
184978,2019,522280000011,1324099.0,1324099,499219
184979,2019,522280000012,628048.0,635800,494340
184981,2019,522280000014,1533200.0,1533200,487920
184982,2019,522280000015,488020.0,488020,487920
184983,2019,522280000016,475600.0,502920,487920
184984,2019,522280000017,792674.0,792674,487920
184985,2019,522280000018,653000.0,653000,487920
184986,2019,522280000019,616645.0,616645,494340
184993,2019,522290000008,424276.0,450000,440000
184997,2019,522290000012,509131.0,509131,500800
184998,2019,522290000013,674556.0,674556,497040
184999,2019,522290000014,805150.0,805150,497040
185000,2019,522290000015,564693.0,564693,497040
185001,2019,522290000016,1167461.0,1167461,497040
185002,2019,522290000017,507040.0,507040,497040
185003,2019,522290000018,1124876.0,1124876,497040
185006,2019,522300000001,799735.0,799735,538800
185008,2019,522300000003,718850.0,749075,527200
185009,2019,522300000004,563125.0,563125,527200
185011,2019,522300000006,374178.0,374178,176000
185015,2019,522300000010,590373.0,590373,543800
185016,2019,522300000017,356450.0,356450,176000
185251,2019,522590000002,544000.0,544000,514000
185256,2019,522590000009,533000.0,533000,532900
185257,2019,522590000011,779830.0,779830,544800
185258,2019,522590000012,712048.0,712048,518000
185260,2019,522590000014,606000.0,606000,518000
185261,2019,522590000015,539221.0,539221,518000
185262,2019,522590000016,564520.0,577400,518000
185264,2019,522590000019,545000.0,545000,544800
185265,2019,522590000020,910884.0,910884,557120
185266,2019,522600000002,525100.0,525100,525000
185267,2019,522600000003,532812.0,532812,525000
185268,2019,522600000004,510000.0,510000,500000
185269,2019,522600000005,595000.0,595000,500000
185270,2019,522600000006,615000.0,615000,500000
185271,2019,522600000007,609783.0,609783,500000
185272,2019,522600000008,515735.0,520486,500000
185273,2019,522600000009,515456.0,515456,500000
185274,2019,522600000010,518515.0,518515,262500
185275,2019,522600000011,652080.0,667440,525000
185276,2019,522600000012,536148.0,536148,500000
185277,2019,522600000013,444584.0,444584,425000
185278,2019,522600000014,499000.0,499000,425000
185279,2019,522600000015,660283.0,660283,500000
185282,2019,522600000018,588500.0,600000,500000
185284,2019,522600000020,100408.0,100408,99408
185285,2019,522600000021,194656.0,216042,99408
185286,2019,522600000022,99508.0,99508,99408
185287,2019,522600000023,99508.0,99508,99408
185288,2019,522600000025,99508.0,99508,99408
185289,2019,522600000026,99508.0,99508,99408
185291,2019,522610000002,517534.0,517534,503000
185292,2019,522610000003,523493.0,523493,503000
185294,2019,522610000005,497000.0,497000,496800
185295,2019,522610000006,481500.0,481500,481400
185297,2019,522610000008,526867.0,526867,496800
185298,2019,522610000009,911762.0,911762,496800
185299,2019,522610000010,505816.0,505816,503000
185302,2019,522630000013,540774.0,540774,516000
185303,2019,522630000014,502821.0,502821,464400
185306,2019,522630000018,893873.0,947618,782000
185307,2019,522630000019,568764.0,568764,516000
185308,2019,522630000020,533268.0,533268,516000
185309,2019,522630000021,507663.0,536188,516000
185310,2019,522630000022,675400.0,678000,516000
185312,2019,522630000024,555300.0,555300,438600
185318,2019,522640000004,460605.0,511113,500000
185319,2019,522640000005,500000.0,500000,499900
185320,2019,522640000006,517751.0,517751,500000
185321,2019,522640000007,881707.0,881707,500000
185322,2019,522640000008,638731.0,638731,500000
185323,2019,522640000009,567144.0,567144,500000
185324,2019,522640000010,1359259.0,1359259,524000
185327,2019,522640000015,656194.0,680000,556000
185328,2019,522640000016,578922.0,578922,550000
185330,2019,522640000019,662402.0,662402,500000
185331,2019,522640000020,992500.0,992500,500000
185333,2019,522640000022,341000.0,355000,175000
185334,2019,522640000023,601320.0,601320,500000
185335,2019,522640000024,759369.0,759369,500000
185336,2019,522640000025,563200.0,593000,500000
185337,2019,522640000026,650000.0,650000,500000
185338,2019,522640000027,585227.0,585227,500000
185341,2019,522640000030,535216.0,535216,482868
185342,2019,522640000031,403183.0,403183,175000
185343,2019,522650000001,497868.0,497868,463650
185344,2019,522650000002,720000.0,720000,500000
185345,2019,522650000003,908248.0,908248,525000
185346,2019,522650000004,702674.0,702674,500000
185347,2019,522650000005,608913.0,608913,500000
185348,2019,522650000006,605000.0,605000,500000
185349,2019,522650000007,679363.0,739639,500000
185351,2019,522650000009,602541.0,602541,500000
185352,2019,522650000010,534000.0,534000,524520
185353,2019,522650000011,730000.0,730000,500000
185354,2019,522650000012,636999.0,636999,500000
185355,2019,522650000013,703000.0,703000,500000
185356,2019,522650000014,525000.0,525000,510000
185358,2019,522650000018,529722.0,529722,485360
185359,2019,522650000019,487596.0,487596,473600
185361,2019,522650000021,541857.0,541857,494400
185364,2019,522650000024,555000.0,555000,530000
185367,2019,522650000028,634793.0,634793,498960
185381,2019,522660000001,952569.0,952569,531720
185384,2019,522660000004,846277.0,846277,525000
185385,2019,522660000005,1155000.0,1210900,500000
185386,2019,522660000006,650134.0,651708,500000
185387,2019,522660000007,577337.0,610860,500000
185388,2019,522660000008,642401.0,642401,500000
185389,2019,522660000009,531468.0,611140,500000
185400,2019,522660010001,559459.0,559459,525000
185402,2019,522660010004,925589.0,925589,500000
185403,2019,522660010005,522531.0,522531,500000
185404,2019,522660010006,500000.0,500000,499900
185405,2019,522660010007,489657.0,527064,500000
185406,2019,522660010011,575657.0,696816,500000
185409,2019,522660010014,1153463.0,1153463,500000
185410,2019,522660010015,597400.0,597400,528000
185412,2019,522660010018,618686.0,636486,550000
185413,2019,522660010020,1275763.0,1275763,525000
185414,2019,522660010021,470853.0,470853,146000
185415,2019,522660010022,413712.0,413712,132000
185416,2019,522660010023,420000.0,420000,121440
185417,2019,522660010024,515094.0,515094,500000
185418,2019,522660020001,625000.0,625000,574000
185419,2019,522660020002,544579.0,582426,547000
185422,2019,522660020005,545502.0,545502,520000
185423,2019,522660020006,542510.0,542510,520000
185424,2019,522660020007,550000.0,550000,520000
185425,2019,522660020008,526300.0,526300,520000
185521,2019,522750000004,736007.0,736007,350000
185523,2019,522750000012,583000.0,590251,475000
185524,2019,522750000013,333266.0,333266,117200
185525,2019,522750000015,288330.0,288330,114520
185526,2019,522750000017,352937.0,352937,110480
185527,2019,522750000018,261015.0,278000,104400
185528,2019,522750000019,322102.0,322102,138280
185529,2019,522750000020,333560.0,333560,121920
185530,2019,522750000021,390026.0,390026,108440
185531,2019,522750000022,381294.0,381294,110240
185532,2019,522750000023,377983.0,377983,110240
185533,2019,522750000024,342000.0,342000,109320
185534,2019,522750000025,379335.0,379335,111960
185535,2019,522750000026,340217.0,340217,114480
185537,2019,522760000001,455937.0,484540,475000
185538,2019,522760000002,476340.0,476340,470250
185539,2019,522760000003,1030000.0,1030000,475000
185540,2019,522760000004,497781.0,497781,475000
185541,2019,522760000005,527560.0,560369,475000
185542,2019,522760000006,588643.0,588643,475000
185543,2019,522760000007,484142.0,484142,475000
185544,2019,522760000008,506000.0,506000,475000
185545,2019,522760000009,458501.0,458501,111360
185546,2019,522760000010,461671.0,461671,166520
185547,2019,522760000011,518000.0,518000,162480
185551,2019,522760000017,1200000.0,1200000,475000
185552,2019,522760000018,517818.0,517818,150000
185553,2019,522760000020,691187.0,691187,675812
185554,2019,522760000023,482202.0,482202,124160
185555,2019,522760000024,447700.0,470815,105160
185556,2019,522760000025,542371.0,542371,162480
185557,2019,522760000026,575000.0,575000,137520
185558,2019,522760000027,614961.0,614961,137520
185559,2019,522760000028,443400.0,443400,130000
185560,2019,522760000029,506000.0,533796,150000
185562,2019,522770000003,650000.0,650000,475000
185564,2019,522770000005,525435.0,525435,386200
185565,2019,522770000007,507500.0,507500,386200
185567,2019,522770000009,463236.0,492029,475000
185570,2019,522770000012,577500.0,641859,427500
185809,2019,522850020009,718402.0,718402,604713
185810,2019,522850020010,708900.0,708900,620884
185814,2019,522860000017,888999.0,888999,757050
185817,2019,522860000020,902651.0,902651,766166
185818,2019,522860000022,519916.0,782000,777805
185825,2019,522860000040,1445515.0,1484795,1130940
185834,2019,523010000002,940549.0,940549,782100
185835,2019,523010000003,2923911.0,2923911,1713030
185836,2019,523010000004,1361662.0,1361662,926750
185837,2019,523010000005,2264924.0,2264924,1283645
185838,2019,523010000006,1575200.0,1670599,926750
185839,2019,523010000007,1217928.0,1217928,840125
185840,2019,523010000009,1395456.0,1471161,1208460
185841,2019,523010000017,4722804.0,4722804,2529615
186026,2019,523230000001,3000000.0,3000000,1916352
186027,2019,523230000003,1934125.0,1934125,964880
186028,2019,523230000005,1801100.0,1801100,1067120
186029,2019,523230000006,2632300.0,2632300,1719440
186030,2019,523230000007,2065440.0,2065440,1415680
186031,2019,523230000010,1225000.0,1225000,1217792
186032,2019,523230000011,3200000.0,3200000,2588560
186033,2019,523230000012,1990396.0,1990396,1212080
186034,2019,523230000013,2653268.0,2653268,2200320
